decision,bucket,line,date,assigned_lbs
69d6750d740f4466923909f5:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DSI884,2026-04-18,24000.0
69d6750d740f4466923909f5:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DSI884,2026-04-20,11785.973
69d6750d740f4466923909f5:69d525b326e89ce8aed89b3a,69d525b326e89ce8aed89b3a,VBS-DSI884,2026-04-22,24000.0
69d6750d740f4466923909f5:69d525bd26e89ce8aed89b3b,69d525bd26e89ce8aed89b3b,VBS-DSI884,2026-04-24,24000.0
69d6750d740f4466923909f5:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DSI884,2026-04-23,24000.0
69d6750d740f4466923909f5:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DSI884,2026-04-29,11463.86
69d6750d740f4466923909f5:69d525ca26e89ce8aed89b3c,69d525ca26e89ce8aed89b3c,VBS-DSI884,2026-04-30,24000.0
69d6750d740f4466923909f5:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DSI884,2026-04-21,4602.49
69d6750d740f4466923909f5:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DSI884,2026-04-27,12536.14
69d6750d740f4466923909f5:69d525d526e89ce8aed89b3d,69d525d526e89ce8aed89b3d,VBS-DSI884,2026-04-29,12536.14
69d6750d740f4466923909f5:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DSI884,2026-04-20,5250.097
69d6750d740f4466923909f5:69d525df26e89ce8aed89b3e,69d525df26e89ce8aed89b3e,VBS-DSI884,2026-04-28,5250.097
